Parsed 54 data rows.
32 unique devices.
Running 32 devices (others cached).
ok iPhone 14 128GB (Apple iPhone 14 128GB) n=4 market=13900 pawn@100%=8000 [low_dispersion]
ok iPhone 17 Pro Max 256GB (Apple iPhone 17 Pro Max 256GB) n=5 market=42900 pawn@100%=25500 [low_dispersion]
ok iPhone 15 128GB (Apple iPhone 15 128GB) n=8 market=16900 pawn@100%=10000 [low_dispersion]
ok iPad Pro 11" M4 256GB WiFi (Apple iPad Pro 11-inch 4th Generation 256GB WiFi) n=4 market=15400 pawn@100%=9000 [high_dispersion]
ok iPhone 15 Plus 128GB (Apple iPhone 15 Plus 128GB) n=6 market=18405 pawn@100%=11000 [low_dispersion]
ok iPhone 14 Pro 256GB (Apple iPhone 14 Pro 256GB) n=5 market=19900 pawn@100%=11500 [low_dispersion]
ok iPhone 16 Pro Max 256GB (Apple iPhone 16 Pro Max 256GB) n=7 market=32000 pawn@100%=19000 [low_dispersion]
ok iPad Air 11" M2 128GB WiFi (Apple iPad Air 11 inch M2 128GB WiFi) n=6 market=14850 pawn@100%=8500 [low_dispersion]
ok iPhone 16 Plus 128GB (Apple iPhone 16 Plus 128GB) n=6 market=23900 pawn@100%=14000 [low_dispersion]
ok Apple Watch Series 10 42mm (Apple Watch Series 10 42mm) n=4 market=7500 pawn@100%=4500 [high_dispersion]
ok iPhone 17 Pro 256GB (Apple iPhone 17 Pro 256GB) n=3 market=37340 pawn@100%=22000 [low_dispersion]
ok iPhone 14 256GB (Apple iPhone 14 256GB) n=4 market=15900 pawn@100%=9500 [low_dispersion]
ok iPhone 16 Pro 128GB (Apple iPhone 16 Pro 128GB) n=6 market=28900 pawn@100%=17000 [low_dispersion]
ok iPhone 15 Pro 128GB (Apple iPhone 15 Pro 128GB) n=6 market=21150 pawn@100%=12500 [low_dispersion]
ok iPhone 15 Pro Max 256GB (Apple iPhone 15 Pro Max 256GB) n=7 market=25900 pawn@100%=15500 [low_dispersion]
ok iPhone 14 Pro Max 256GB (Apple iPhone 14 Pro Max 256GB) n=5 market=19000 pawn@100%=11000 [low_dispersion]
ok MacBook Air 13" M2 8GB/512GB (Apple MacBook Air 13-inch M2 8GB RAM 512GB SSD) n=5 market=20000 pawn@100%=12000 [low_dispersion]
ok Apple Watch Series 10 46mm (Apple Watch Series 10 46mm) n=6 market=7950 pawn@100%=4500 [low_dispersion]
ok iPhone 14 Plus 128GB (Apple iPhone 14 Plus 128GB) n=6 market=15450 pawn@100%=9000 [low_dispersion]
ok iPhone 16 Pro 256GB (Apple iPhone 16 Pro 256GB) n=6 market=26700 pawn@100%=16000 [low_dispersion]
ok MacBook Air 15" M3 8GB/256GB (Apple MacBook Air 15-inch M3 8GB RAM 256GB SSD) n=3 market=23400 pawn@100%=14000 [low_dispersion]
ok iPhone 17 256GB (Apple iPhone 17 256GB) n=5 market=26990 pawn@100%=16000 [low_dispersion]
ok iPhone 13 128GB (Apple iPhone 13 128GB) n=5 market=11000 pawn@100%=6500 [low_dispersion]
ok iPhone 14 Pro 128GB (Apple iPhone 14 Pro 128GB) n=5 market=16900 pawn@100%=10000 [low_dispersion]
ok iPhone 15 Pro 256GB (Apple iPhone 15 Pro 256GB) n=6 market=21900 pawn@100%=13000 [low_dispersion]
ok iPad Gen 10 64GB WiFi (Apple iPad 10th Generation 64GB WiFi) n=6 market=8195 pawn@100%=4500 [low_dispersion]
ok iPhone 17 Pro Max 512GB (Apple iPhone 17 Pro Max 512GB) n=3 market=52260 pawn@100%=31000 [low_dispersion]
ok iPhone 13 Pro 128GB (Apple iPhone 13 Pro 128GB) n=5 market=12270 pawn@100%=7000 [low_dispersion]
ok iPhone 13 512GB (Apple iPhone 13 512GB) n=3 market=12506 pawn@100%=7500 [low_dispersion]
ok MacBook Pro 14" M4 16GB/512GB (Apple MacBook Pro 14-inch M4 16GB RAM 512GB SSD) n=3 market=44700 pawn@100%=26500 [low_dispersion]
ok iPhone 16 128GB (Apple iPhone 16 128GB) n=6 market=21145 pawn@100%=12500 [low_dispersion]
ok iPad Pro 13" M4 256GB WiFi (Apple iPad Pro 13-inch M4 256GB WiFi) n=4 market=31900 pawn@100%=19000 [low_dispersion]

Wrote /Users/natthaphat/Downloads/สัญญาจำนำ_Astly_CM_ผลประเมินระบบ.csv

================ SUMMARY ================
Rows priced: 54/54
Total actual loaned:  485,300 THB
Total system @100%:   708,000 THB
Total diff (actual-system): -222,700 THB (-31.5%)
Mean diff:   -4,124 THB
Median diff: -4,000 THB
Mean |diff|: 4,680 THB
Median |diff|: 4,000 THB
Actual > system: 3 | Actual < system: 50 | equal: 1

seq | model | actual | system@100% | diff | %
  1 | iPhone 17 Pro Max 256GB            |   22,500 |   25,500 |   -3,000 | -11.8
  2 | iPhone 14 128GB                    |    6,000 |    8,000 |   -2,000 | -25.0
  3 | iPhone 15 128GB                    |    6,500 |   10,000 |   -3,500 | -35.0
  4 | iPad Pro 11" M4 256GB WiFi         |   10,000 |    9,000 |    1,000 | 11.1
  5 | iPhone 14 Pro 256GB                |    8,800 |   11,500 |   -2,700 | -23.5
  6 | iPhone 15 Plus 128GB               |    6,000 |   11,000 |   -5,000 | -45.5
  7 | iPhone 16 Pro Max 256GB            |   12,000 |   19,000 |   -7,000 | -36.8
  8 | iPad Air 11" M2 128GB WiFi         |    7,000 |    8,500 |   -1,500 | -17.6
  9 | iPhone 16 Plus 128GB               |    9,000 |   14,000 |   -5,000 | -35.7
 10 | iPhone 14 256GB                    |    5,000 |    9,500 |   -4,500 | -47.4
 11 | iPhone 16 Plus 128GB               |    7,000 |   14,000 |   -7,000 | -50.0
 12 | Apple Watch Series 10 42mm         |    3,500 |    4,500 |   -1,000 | -22.2
 13 | iPhone 17 Pro 256GB                |   15,000 |   22,000 |   -7,000 | -31.8
 14 | iPhone 16 Pro 128GB                |   11,000 |   17,000 |   -6,000 | -35.3
 15 | iPhone 14 Pro 256GB                |    8,000 |   11,500 |   -3,500 | -30.4
 16 | iPhone 15 Pro 128GB                |    8,000 |   12,500 |   -4,500 | -36.0
 17 | iPhone 15 Pro Max 256GB            |   12,000 |   15,500 |   -3,500 | -22.6
 18 | MacBook Air 13" M2 8GB/512GB       |   10,000 |   12,000 |   -2,000 | -16.7
 19 | iPhone 14 Plus 128GB               |    5,000 |    9,000 |   -4,000 | -44.4
 20 | iPad Pro 11" M4 256GB WiFi         |    9,000 |    9,000 |        0 | 0.0
 21 | iPhone 17 Pro Max 256GB            |   20,000 |   25,500 |   -5,500 | -21.6
 22 | iPhone 14 Pro Max 256GB            |    5,000 |   11,000 |   -6,000 | -54.5
 23 | iPad Pro 11" M4 256GB WiFi         |   10,000 |    9,000 |    1,000 | 11.1
 24 | Apple Watch Series 10 46mm         |    3,500 |    4,500 |   -1,000 | -22.2
 25 | iPhone 16 Pro 256GB                |   12,000 |   16,000 |   -4,000 | -25.0
 26 | iPhone 14 256GB                    |    5,000 |    9,500 |   -4,500 | -47.4
 27 | MacBook Air 15" M3 8GB/256GB       |   12,000 |   14,000 |   -2,000 | -14.3
 28 | iPhone 14 Pro Max 256GB            |    9,000 |   11,000 |   -2,000 | -18.2
 29 | iPhone 16 Pro 128GB                |   10,000 |   17,000 |   -7,000 | -41.2
 30 | iPhone 17 256GB                    |   12,000 |   16,000 |   -4,000 | -25.0
 31 | iPhone 13 128GB                    |    3,000 |    6,500 |   -3,500 | -53.8
 32 | iPhone 15 Pro 256GB                |   10,000 |   13,000 |   -3,000 | -23.1
 33 | iPhone 14 Pro 128GB                |    7,000 |   10,000 |   -3,000 | -30.0
 34 | iPhone 17 Pro Max 512GB            |    3,500 |   31,000 |  -27,500 | -88.7
 35 | iPad Gen 10 64GB WiFi              |    4,000 |    4,500 |     -500 | -11.1
 36 | iPhone 13 Pro 128GB                |    3,000 |    7,000 |   -4,000 | -57.1
 37 | iPhone 14 Pro 128GB                |   23,000 |   10,000 |   13,000 | 130.0
 38 | iPhone 13 512GB                    |    4,000 |    7,500 |   -3,500 | -46.7
 39 | Apple Watch Series 10 42mm         |    3,000 |    4,500 |   -1,500 | -33.3
 40 | iPhone 17 Pro Max 256GB            |   10,000 |   25,500 |  -15,500 | -60.8
 41 | iPhone 15 Plus 128GB               |    7,000 |   11,000 |   -4,000 | -36.4
 42 | iPhone 16 Pro 256GB                |   11,000 |   16,000 |   -5,000 | -31.2
 43 | Apple Watch Series 10 46mm         |    4,000 |    4,500 |     -500 | -11.1
 44 | MacBook Air 15" M3 8GB/256GB       |   13,000 |   14,000 |   -1,000 | -7.1
 45 | iPad Air 11" M2 128GB WiFi         |    5,000 |    8,500 |   -3,500 | -41.2
 46 | iPhone 15 Pro Max 256GB            |   10,000 |   15,500 |   -5,500 | -35.5
 47 | iPhone 17 Pro 256GB                |   15,000 |   22,000 |   -7,000 | -31.8
 48 | iPhone 16 128GB                    |    7,000 |   12,500 |   -5,500 | -44.0
 49 | iPhone 16 Pro 256GB                |   13,000 |   16,000 |   -3,000 | -18.7
 50 | iPhone 15 128GB                    |    5,000 |   10,000 |   -5,000 | -50.0
 51 | MacBook Pro 14" M4 16GB/512GB      |   20,000 |   26,500 |   -6,500 | -24.5
 52 | iPad Pro 13" M4 256GB WiFi         |   13,000 |   19,000 |   -6,000 | -31.6
 53 | iPhone 16 128GB                    |    5,000 |   12,500 |   -7,500 | -60.0
 54 | iPhone 16 Plus 128GB               |    7,000 |   14,000 |   -7,000 | -50.0
